Date,Open,High,Low,Close,Adj Close,Volume
2020-01-06,2.244000,2.284000,2.228000,2.281000,2.281000,0
2020-01-07,2.278000,2.309000,2.277000,2.305000,2.305000,0
2020-01-08,2.305000,2.363000,2.283000,2.358000,2.358000,0
2020-01-09,2.352000,2.382000,2.325000,2.330000,2.330000,0
2020-01-10,2.323000,2.337000,2.279000,2.284000,2.284000,0
2020-01-12,null,null,null,null,null,null
2020-01-13,2.296000,2.323000,2.295000,2.307000,2.307000,0
2020-01-14,2.302000,2.312000,2.271000,2.275000,2.275000,0
2020-01-15,2.253000,2.261000,2.233000,2.242000,2.242000,0
2020-01-16,2.233000,2.271000,2.229000,2.261000,2.261000,0
2020-01-17,2.281000,2.312000,2.281000,2.296000,2.296000,0
2020-01-19,null,null,null,null,null,null
2020-01-21,2.259000,2.259000,2.224000,2.231000,2.231000,0
2020-01-22,2.242000,2.242000,2.207000,2.218000,2.218000,0
2020-01-23,2.183000,2.201000,2.166000,2.182000,2.182000,0
2020-01-24,2.176000,2.182000,2.121000,2.128000,2.128000,0
2020-01-26,null,null,null,null,null,null
2020-01-27,2.068000,2.083000,2.055000,2.055000,2.055000,0
2020-01-28,2.074000,2.110000,2.062000,2.095000,2.095000,0
2020-01-29,2.093000,2.093000,2.044000,2.053000,2.053000,0
2020-01-30,2.033000,2.055000,2.004000,2.028000,2.028000,0
2020-01-31,2.018000,2.030000,1.992000,2.015000,2.015000,0
2020-02-02,null,null,null,null,null,null
2020-02-03,2.042000,2.053000,1.992000,1.997000,1.997000,0
2020-02-04,2.053000,2.091000,2.052000,2.081000,2.081000,0
2020-02-05,2.126000,2.136000,2.112000,2.133000,2.133000,0
2020-02-06,2.115000,2.141000,2.110000,2.114000,2.114000,0
2020-02-07,2.075000,2.091000,2.035000,2.042000,2.042000,0
2020-02-09,null,null,null,null,null,null
2020-02-10,2.033000,2.037000,2.016000,2.020000,2.020000,0
2020-02-11,2.057000,2.065000,2.036000,2.051000,2.051000,0
2020-02-12,2.085000,2.100000,2.079000,2.091000,2.091000,0
2020-02-13,2.066000,2.090000,2.056000,2.071000,2.071000,0
2020-02-14,2.053000,2.053000,2.025000,2.043000,2.043000,0
2020-02-16,null,null,null,null,null,null
2020-02-18,1.991000,2.029000,1.989000,2.006000,2.006000,0
2020-02-19,2.010000,2.033000,2.004000,2.016000,2.016000,0
2020-02-20,1.982000,1.990000,1.957000,1.972000,1.972000,0
2020-02-21,1.919000,1.930000,1.886000,1.918000,1.918000,0
2020-02-23,null,null,null,null,null,null
2020-02-24,1.848000,1.853000,1.811000,1.837000,1.837000,0
2020-02-25,1.839000,1.842000,1.787000,1.804000,1.804000,0
2020-02-26,1.854000,1.863000,1.787000,1.796000,1.796000,0
2020-02-27,1.764000,1.821000,1.743000,1.784000,1.784000,0
2020-02-28,1.714000,1.727000,1.646000,1.671000,1.671000,0
2020-03-01,null,null,null,null,null,null
2020-03-02,1.624000,1.660000,1.612000,1.646000,1.646000,0
2020-03-03,1.693000,1.753000,1.508000,1.630000,1.630000,0
2020-03-04,1.621000,1.648000,1.578000,1.635000,1.635000,0
2020-03-05,1.605000,1.605000,1.536000,1.571000,1.571000,0
